class_id,canonical_name,pgfa_description,smie_description,sa_dvae_description,star_description,pgfa_description_chars,pgfa_description_tokens,smie_description_chars,smie_description_tokens,sa_dvae_description_chars,sa_dvae_description_tokens,star_description_chars,star_description_tokens
0,Drink water,"""Drink water"" refers to the act of taking in water by mouth to hydrate or quench thirst as a human action.","""Drink water"" refers to the act of taking in water by mouth to hydrate or quench thirst as a human action.","""Drink water"" refers to the act of taking in water by mouth to hydrate or quench thirst as a human action.","drink water; Head: Tilts slightly back to allow the water to flow down the throat; Hand: Grasps the water container (like a glass or a bottle) securely; Arm: Raises the water container towards the mouth for drinking; Hip: Maintains balance and stability while drinking; Leg: May shift weight slightly to support the body's position; Foot: May adjust position for stability, especially if standing or walking while drinking.",106,21,106,21,106,21,423,67
1,Eat meal/snack,"""Eat meal/snack"" is consuming food for sustenance, nourishment, or pleasure.","""Eat meal/snack"" is consuming food for sustenance, nourishment, or pleasure.","""Eat meal/snack"" is consuming food for sustenance, nourishment, or pleasure.","eat meal; Head: Bends slightly forward to bring the food closer to the mouth; Hand: Holds utensils (like a fork or spoon) to pick up and guide food into the mouth; Arm: Lifts the utensil or brings food to the mouth; Hip: Provides stability and balance while seated or standing during the meal; Leg: May shift position slightly for comfort or to support the body's weight; Foot: Remains planted or adjusts position for stability, especially when seated.",76,10,76,10,76,10,452,77
2,Brushing teeth,"""Brushing teeth"" is the act of cleaning teeth and gums using a toothbrush and toothpaste for oral hygiene.","""Brushing teeth"" is the act of cleaning teeth and gums using a toothbrush and toothpaste for oral hygiene.","""Brushing teeth"" is the act of cleaning teeth and gums using a toothbrush and toothpaste for oral hygiene.","brush teeth; Head: Leans over the sink to allow access to the mouth and keep toothpaste from dripping; Hand: Holds the toothbrush firmly and controls its movements; Arm: Guides the toothbrush in circular or back-and-forth motions to clean all teeth surfaces; Hip: Maintains balance and stability while standing at the sink; Leg: May shift weight slightly for comfort or support during brushing; Foot: Remains grounded or may adjust position for stability, especially if standing on one foot while brushing.",106,18,106,18,106,18,506,79
3,Brushing hair,"""Brushing hair"" involves using a brush or comb to groom and style hair.","""Brushing hair"" involves using a brush or comb to groom and style hair.","""Brushing hair"" involves using a brush or comb to groom and style hair.","brush hair; Head: May tilt slightly forward or to the side to allow better access to different sections of the hair; Hand: Holds the hairbrush firmly and controls its movements; Arm: Guides the hairbrush through the hair, brushing from root to tip; Hip: Provides stability and balance while standing or sitting during brushing; Leg: May shift weight slightly for comfort or support during brushing; Foot: Remains planted or may adjust position for stability, especially if standing while brushing hair.",71,13,71,13,71,13,502,79
4,Drop,"""Drop"" refers to accidentally or intentionally releasing an object from one's grasp, allowing it to fall to the ground or another surface.","""Drop"" refers to accidentally or intentionally releasing an object from one's grasp, allowing it to fall to the ground or another surface.","""Drop"" refers to accidentally or intentionally releasing an object from one's grasp, allowing it to fall to the ground or another surface.",drop; Head: Might instinctively turn to look at the object as it falls; Hand: May release the object accidentally or intentionally; Arm: Can move in a reflexive motion to attempt to catch or break the fall of the object; Hip: May shift slightly in reaction to the movement of the arm; Leg: Might adjust position to provide stability or to move out of the way of the falling object; Foot: Could also shift position for stability or to avoid the falling object;,138,22,138,22,138,22,459,82
5,Pickup,“Pickup” involves lifting or grasping an object with one's hands.,“Pickup” involves lifting or grasping an object with one's hands.,“Pickup” involves lifting or grasping an object with one's hands.,"pick up; Head: May glance down to locate the object; Hand: Reaches out and grasps the object firmly; Arm: Extends toward the object to facilitate picking it up; Hip: May shift slightly to provide balance and support during the motion of picking up the object; Leg: Might bend at the knee to lower the body closer to the object; Foot: Can adjust position for stability, especially if balancing on one foot while picking up the object.",65,10,65,10,65,10,433,76
6,Throw,"""Throw"" is the act of projecting an object through the air by using the hand or arm.","""Throw"" is the act of projecting an object through the air by using the hand or arm.","""Throw"" is the act of projecting an object through the air by using the hand or arm.","throw; Head: Often turns to focus on the target or the direction of the throw; Hand: Grasps the object securely and provides the force for the throw; Arm: Swings backward to generate momentum, then moves forward quickly to release the object; Hip: Rotates slightly to transfer power from the lower body to the throwing arm; Leg: May step forward or push off the ground to add force to the throw; Foot: Provides stability and balance during the throwing motion, often pivoting or pushing off the ground for additional power.",84,17,84,17,84,17,523,89
7,Sitting down,"""Sitting down"" involves moving from a standing position to a seated position.","""Sitting down"" involves moving from a standing position to a seated position.","""Sitting down"" involves moving from a standing position to a seated position.","sit down; Head: May tilt slightly forward or remain upright as the body lowers; Hand: Can reach for a surface or support, such as a chair or a nearby object, to aid in the sitting process; Arm: May extend backward to support the body's weight or reach for the seat, then relaxes as the body settles into the sitting position; Hip: Bends at the hip joint to lower the torso toward the seat; Leg: Bends at the knee joint as the body descends into the seated position; Foot: Can adjust position for stability, often remaining flat on the ground or lifting slightly as the weight shifts.",77,12,77,12,77,12,583,106
8,Standing up (from sitting position),"""Standing up (from sitting position)"" involves transitioning from a seated position to an upright position by pushing up with the legs.","""Standing up (from sitting position)"" involves transitioning from a seated position to an upright position by pushing up with the legs.","""Standing up (from sitting position)"" involves transitioning from a seated position to an upright position by pushing up with the legs.","stand up; Head: Lifts slightly, often turning to look in the direction of movement; Hand: May push off a surface, such as a chair or the ground, for support; Arm: Assists in pushing the body upward by pushing off a surface or swinging upward for balance; Hip: Straightens as the body lifts, providing support and stability; Leg: Extends at the knee joint, lifting the body's weight; Foot: Pushes against the ground to provide leverage for standing, with the heel often lifting first followed by the rest of the foot.",135,21,135,21,135,21,516,89
9,Clapping,"""Clapping"" involves striking one's palms together to make a sound, typically as a form of applause or approval.","""Clapping"" involves striking one's palms together to make a sound, typically as a form of applause or approval.","""Clapping"" involves striking one's palms together to make a sound, typically as a form of applause or approval.","clapping; Head: Generally faces forward, but may turn slightly towards the direction of the applause; Hand: Strikes together in a rhythmic motion to create the clapping sound; Arm: Swings back and forth to bring the hands together for each clap; Hip: Usually remains stationary during clapping, providing stability to the upper body; Leg: May slightly shift weight from one leg to the other for balance; Foot: Typically remains planted on the ground, providing stability while clapping.",111,18,111,18,111,18,486,76
10,Reading,"""Reading"" involves interpreting and understanding written or printed words and symbols.","""Reading"" involves interpreting and understanding written or printed words and symbols.","""Reading"" involves interpreting and understanding written or printed words and symbols.","reading; Head: Usually faces forward, with eyes scanning the text on the page or screen; Hand: Holds the book, tablet, or other reading material, turning pages as necessary; Arm: Supports the weight of the book or device and may turn pages or scroll; Hip: Maintains a comfortable sitting or standing position while reading; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, supporting the leg and body while reading.",87,11,87,11,87,11,479,78
11,Writing,"""Writing"" involves using a pen, pencil, or other writing tool to create letters, words, or symbols on a surface such as paper or a screen.","""Writing"" involves using a pen, pencil, or other writing tool to create letters, words, or symbols on a surface such as paper or a screen.","""Writing"" involves using a pen, pencil, or other writing tool to create letters, words, or symbols on a surface such as paper or a screen.","writing; Head: Often leans slightly forward or to the side, focusing on the writing surface; Hand: Holds the writing tool (pen, pencil, etc.) and guides it across the paper or screen; Arm: Moves in conjunction with the hand, providing support and control for writing; Hip: Typically remains stationary, providing stability while seated or standing; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Generally remains in place, supporting the leg and body while writing.",138,25,138,25,138,25,504,79
12,Tear up paper,"""Tear up paper"" involves using one's hands to rip apart paper into smaller pieces.","""Tear up paper"" involves using one's hands to rip apart paper into smaller pieces.","""Tear up paper"" involves using one's hands to rip apart paper into smaller pieces.","tear up paper; Head: Might tilt slightly forward to focus on the paper being torn; Hand: Grasps the paper firmly and applies pressure to tear it; Arm: Moves in a controlled motion to tear the paper, using strength and coordination; Hip: Often remains stationary, providing stability to the upper body during the tearing process; Leg: Can shift weight slightly for balance or stability, especially if standing while tearing paper; Foot: Generally remains in place, providing support to the leg and body during the activity.",82,14,82,14,82,14,522,84
13,Wear jacket,"""Wear jacket"" is the act of putting on a garment designed to cover the upper body and arms.","""Wear jacket"" is the act of putting on a garment designed to cover the upper body and arms.","""Wear jacket"" is the act of putting on a garment designed to cover the upper body and arms.","put on jacket; Head: May lean slightly forward or tilt to one side to allow the jacket to slip on more easily; Hand: Grasps the edges of the jacket collar or sleeves to guide them onto the arms; Arm: Slides into the sleeves of the jacket one at a time, with the hand leading the way; Hip: May shift slightly to accommodate the movement of the arms and shoulders as the jacket is put on; Leg: Generally remains in place but may shift weight slightly for balance; Foot: Usually remains planted on the ground, providing stability while putting on the jacket.",91,18,91,18,91,18,555,101
14,Take off jacket,"""Take off jacket"" involves removing a jacket or outer garment from one's body.","""Take off jacket"" involves removing a jacket or outer garment from one's body.","""Take off jacket"" involves removing a jacket or outer garment from one's body.","take off jacket; Head: Often remains upright or may tilt slightly forward as the jacket is removed; Hand: Grasps the edges of the jacket or reaches for the zipper to start the removal process; Arm: Pulls one arm out of the sleeve at a time, with the hand leading the way; Hip: May shift slightly to accommodate the movement of the arms and shoulders as the jacket is taken off; Leg: Generally remains in place but may shift weight slightly for balance; Foot: Usually remains planted on the ground, providing stability while taking off the jacket.",78,13,78,13,78,13,546,96
15,Wear a shoe,"""Wear a shoe"" involves putting a shoe onto one's foot for protection or fashion purposes.","""Wear a shoe"" involves putting a shoe onto one's foot for protection or fashion purposes.","""Wear a shoe"" involves putting a shoe onto one's foot for protection or fashion purposes.","put on a shoe; Head: Generally remains upright, with perhaps a slight tilt downwards to watch the process; Hand: Grabs the shoe and holds it steady while guiding the foot into it; Arm: May assist by holding the shoe or offering support to maintain balance; Hip: Often remains stable, providing a solid base for the body during the shoe-putting process; Leg: Lifts slightly as the foot slides into the shoe, then lowers once it's in place; Foot: Slides into the shoe, pressing against the heel and toe to ensure a snug fit.",89,15,89,15,89,15,522,92
16,Take off a shoe,"""Take off a shoe"" involves removing a shoe from one's foot using one's hands.","""Take off a shoe"" involves removing a shoe from one's foot using one's hands.","""Take off a shoe"" involves removing a shoe from one's foot using one's hands.","take off a shoe; Head: Often remains upright, with perhaps a slight tilt downwards to watch the process; Hand: Reaches down to grasp the shoe and holds it steady while guiding it off the foot; Arm: May assist by holding the shoe or offering support to maintain balance; Hip: Often remains stable, providing a solid base for the body during the shoe removal process; Leg: Lifts slightly as the foot is pulled out of the shoe, then lowers once it's free; Foot: Slides out of the shoe, with the heel lifting first followed by the rest of the foot.",77,14,77,14,77,14,544,99
17,Wear on glasses,"""Wear on glasses"" involves putting eyeglasses or spectacles on one's face to correct vision or protect the eyes.","""Wear on glasses"" involves putting eyeglasses or spectacles on one's face to correct vision or protect the eyes.","""Wear on glasses"" involves putting eyeglasses or spectacles on one's face to correct vision or protect the eyes.","put on glasses; Head: Tilts slightly forward or remains upright to facilitate the placement of the glasses on the face; Hand: Grasps the glasses by the frames or temples; Arm: Raises the glasses towards the face, positioning them in front of the eyes; Hip: Generally remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while putting on the glasses.",112,18,112,18,112,18,536,86
18,Take off glasses,"""Take off glasses"" involves removing eyeglasses from one's face with one's hands.","""Take off glasses"" involves removing eyeglasses from one's face with one's hands.","""Take off glasses"" involves removing eyeglasses from one's face with one's hands.","take off glasses; Head: May tilt slightly forward or remain upright as the glasses are removed; Hand: Grasps the glasses by the frames or temples; Arm: Lowers the glasses away from the face, allowing them to be taken off; Hip: Generally remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while taking off the glasses.",81,12,81,12,81,12,506,82
19,Put on a hat/cap,"""Put on a hat/cap"" involves placing headwear over one's head, typically for protection from the sun.","""Put on a hat/cap"" involves placing headwear over one's head, typically for protection from the sun.","""Put on a hat/cap"" involves placing headwear over one's head, typically for protection from the sun.","put on a hat/cap; Head: Bends slightly forward or remains upright to position the hat correctly; Hand: Holds the hat by its brim or crown, preparing to place it on the head; Arm: Lifts the hat towards the head, guiding it into position; Hip: Often remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while putting on the hat or cap.",100,16,100,16,100,16,520,88
20,Take off a hat/cap,"""Take off a hat/cap"" involves removing a piece of headwear from one's head, typically by lifting or pulling it off.","""Take off a hat/cap"" involves removing a piece of headwear from one's head, typically by lifting or pulling it off.","""Take off a hat/cap"" involves removing a piece of headwear from one's head, typically by lifting or pulling it off.","take off a hat/cap; Head: May tilt slightly forward or remain upright as the hat is removed; Hand: Grasps the hat by its brim or crown, preparing to lift it off; Arm: Raises the hat away from the head, guiding it off; Hip: Often remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while taking off the hat or cap.",115,20,115,20,115,20,501,87
21,Cheer up,"""Cheer up"" involves trying to make oneself or someone else feel more positive or happy.","""Cheer up"" involves trying to make oneself or someone else feel more positive or happy.","""Cheer up"" involves trying to make oneself or someone else feel more positive or happy.","cheer up; Head: Lifts slightly, with a smile or a bright expression on the face; Hand: Raises into the air or claps together enthusiastically; Arm: Extends upward or outward in celebration; Hip: May sway or move rhythmically in excitement; Leg: Can jump or bounce with energy; Foot: May tap or stomp in excitement or happiness.",87,15,87,15,87,15,327,55
22,Hand waving,"""Hand waving"" is a gesture involving moving one's hand or hands to signal, greet, or draw attention.","""Hand waving"" is a gesture involving moving one's hand or hands to signal, greet, or draw attention.","""Hand waving"" is a gesture involving moving one's hand or hands to signal, greet, or draw attention.","hand waving; Head: Might turn slightly to acknowledge the person being waved at or to follow the motion of the hand; Hand: Moves back and forth in a greeting gesture, typically with the palm facing outward; Arm: Swings in conjunction with the hand, helping to propel the waving motion; Hip: Generally remains stationary, providing stability to the upper body; Leg: Can shift slightly for balance, especially if the waving motion is energetic; Foot: Typically remains in place, providing support to the leg and body during the waving motion.",100,17,100,17,100,17,540,88
23,Kicking something,"""Kicking something"" is a human action that involves striking an object with the foot.","""Kicking something"" is a human action that involves striking an object with the foot.","""Kicking something"" is a human action that involves striking an object with the foot.","kicking something; Head: Typically remains stable and focused on the target or direction of the kick; Hand: Often remains by the side or may be used for balance, especially if the kick requires precision or power; Arm: Can swing slightly for balance or momentum, but primarily stays by the side; Hip: Rotates slightly to provide power and momentum to the kicking leg; Leg: Extends forward rapidly, with the knee bending and the foot making contact with the object being kicked; Foot: Strikes the object with force, then retracts quickly to maintain balance and prepare for the next movement.",85,14,85,14,85,14,591,98
24,Reach into pocket,"""Reach into pocket"" is the act of extending one's hand into a pocket to retrieve an item or to adjust the pocket contents.","""Reach into pocket"" is the act of extending one's hand into a pocket to retrieve an item or to adjust the pocket contents.","""Reach into pocket"" is the act of extending one's hand into a pocket to retrieve an item or to adjust the pocket contents.","reach into pocket; Head: May tilt slightly forward or to the side to watch the hand as it reaches into the pocket; Hand: Extends towards the pocket, fingers ready to grasp whatever is inside; Arm: Moves in conjunction with the hand, guiding it into the pocket; Hip: Often remains stable, providing a base for the arm to reach into the pocket; Leg: May slightly shift weight for balance or stability during the reaching motion; Foot: Typically remains in place, providing support to the leg and body while reaching into the pocket.",122,23,122,23,122,23,530,91
25,Hopping (one foot jumping),"""Hopping (one foot jumping)"" is a human action that involves jumping repeatedly on one foot.","""Hopping (one foot jumping)"" is a human action that involves jumping repeatedly on one foot.","""Hopping (one foot jumping)"" is a human action that involves jumping repeatedly on one foot.","hopping; Head: Generally stays level, with eyes focused on the direction of movement; Hand: Often stays by the side for balance, but may move slightly to aid in stabilizing the body; Arm: Can swing gently to assist in maintaining balance while hopping; Hip: Moves in coordination with the leg to provide propulsion and stability; Leg: Extends and pushes off the ground to propel the body upwards during the hop; Foot: Lifts off the ground, providing the push needed for the hop, then lands again to absorb the impact.",92,15,92,15,92,15,517,88
26,Jumping up,"""Jumping up"" involves leaping upward from a standing position as part of physical training.","""Jumping up"" involves leaping upward from a standing position as part of physical training.","""Jumping up"" involves leaping upward from a standing position as part of physical training.","jump up; Head: May tilt slightly upwards as the body prepares to jump; Hand: Often stays by the side or may swing slightly for balance during the jump; Arm: Can swing gently to aid in propulsion and balance during the jump; Hip: Bends slightly to provide power and momentum for the jump; Leg: Bends at the knee, then extends forcefully to propel the body upwards; Foot: Pushes off the ground with force, providing the main thrust for the jump.",91,14,91,14,91,14,443,79
27,Make a phone call/Answer phone,"""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","""Make a phone call/Answer phone"" involves using a phone to either initiate or receive a phone conversation.","phone call; Head: Typically remains upright, with the ear positioned close to the phone's speaker; Hand: Holds the phone securely, bringing it to the ear or holding it in front of the mouth; Arm: Supports the weight of the phone and may adjust its position for comfort during the call; Hip: Often remains stationary, providing stability to the upper body during the call; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body during the call.",107,17,107,17,107,17,539,91
28,Playing with phone/tablet,"""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","""Playing with phone/tablet"" involves manipulating electronic devices through various interactions such as tapping, swiping, or scrolling.","play with phone/tablet; Head: May tilt slightly downwards to focus on the screen of the device; Hand: Holds the phone or tablet securely and controls its movements, such as tapping or swiping; Arm: Supports the weight of the device and may adjust its position for comfort during use; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while using the phone or tablet.",137,16,137,16,137,16,537,89
29,Typing on a keyboard,"""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","""Typing on a keyboard"" is the act of pressing keys on a keyboard to input information or commands into a computer or other electronic device.","type on a keyboard; Head: Typically remains upright, with eyes focused on the screen or keyboard; Hand: Moves fingers to press keys on the keyboard; Arm: Supports the weight of the hand and provides stability during typing; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while typing.",141,25,141,25,141,25,458,74
30,Pointing to something with finger,"""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","""Pointing to something with finger"" involves extending the arm and using the finger to indicate or draw attention to a specific object or location.","point to something; Head: May turn slightly to direct attention towards the object being pointed at; Hand: Extends the index finger towards the object, pointing in its direction; Arm: Moves in conjunction with the hand, guiding it to point accurately; Hip: Often remains stable, providing a base for the arm to move freely; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while pointing.",147,24,147,24,147,24,477,78
