class_id,canonical_name,pgfa_description,smie_description,sa_dvae_description,star_description,pgfa_description_chars,pgfa_description_tokens,smie_description_chars,smie_description_tokens,sa_dvae_description_chars,sa_dvae_description_tokens,star_description_chars,star_description_tokens
31,Taking a selfie,"""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","""Taking a selfie"" is using a camera to take a self-portrait photograph, typically for sharing on social media or personal keepsake.","taking a selfie; Head: May tilt slightly to find the best angle or position for the selfie; Hand: Holds the phone or camera at arm's length, ready to take the photo; Arm: Extends outward to hold the phone or camera, positioning it for the selfie; Hip: Often remains stable, providing a base for the body while taking the photo; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while taking the selfie.",131,21,131,21,131,21,490,86
32,Checking time (from watch),"""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","""Checking time (from watch)"" involves looking at a wristwatch or other timekeeping device to determine the current time.","check time (from watch); Head: Tilts slightly downwards or to the side to glance at the watch face; Hand: Raises and rotates the wrist to bring the watch face into view; Arm: Moves in conjunction with the hand, positioning the watch for easy viewing; Hip: Generally remains stable, providing a base for the body during the action; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while checking the time.",120,18,120,18,120,18,493,84
33,Rubbing two hands together,"""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","""Rubbing two hands together"" involves moving one's hands back and forth against each other, often for warmth.","rub two hands; Head: Often stays upright, with the eyes potentially focused on the hands or elsewhere; Hand: Rubs against the other hand, creating friction and warmth; Arm: Moves in coordination with the hands, providing the motion for rubbing; Hip: Generally remains stable, providing a base for the upper body; Leg: Can shift slightly for comfort or balance, but typically stays in place; Foot: Typically remains in place, providing support to the leg and body during the action.",109,17,109,17,109,17,481,78
34,Nod headbow,"""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","""Nod headbow"" involves lowering one's head briefly in a sign of respect, greeting, or acknowledgment.","nod head/bow; Head: Bows forward or tilts downward in a nodding motion; Hand: Typically remains by the side or may be used for balance, especially during a deep bow; Arm: Can hang by the side or may be placed across the chest, depending on the depth of the bow; Hip: Often remains stable, providing a base for the upper body; Leg: Can step forward or shift weight slightly for balance, especially during a deeper bow; Foot: Typically remains in place, providing support to the leg and body during the action.",101,15,101,15,101,15,508,90
35,Shake head,"""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","""Shake head"" is moving the head from side to side in a rapid or deliberate manner, often to indicate disagreement.","shake head; Head: Moves from side to side in a horizontal motion; Hand: Typically remains by the side or may be used for balance, especially if the shaking motion is vigorous; Arm: Can hang by the side or may move slightly to accompany the motion of the head; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance, especially if the shaking motion is forceful; Foot: Typically remains in place, providing support to the leg and body during the action.",114,20,114,20,114,20,504,88
36,Wiping face,"""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","""Wiping face"" involves using a cloth or one's hands to remove dirt, sweat, or moisture from one's face.","wipe face; Head: May tilt slightly to one side or lean forward to facilitate the wiping motion; Hand: Holds a tissue, cloth, or handkerchief and makes contact with the face to wipe away sweat, dirt, or moisture; Arm: Moves the hand in a gentle wiping motion across the face, covering areas like the forehead, cheeks, or chin; Hip: Often remains stationary, providing stability to the upper body during the wiping process; Leg: Can shift weight slightly for balance or comfort, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while wiping the face.",103,18,103,18,103,18,617,102
37,Salute,"""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","""Salute"" is a gesture of respect or greeting, typically performed by raising one's hand to the forehead or brim of a hat.","salute; Head: Tilts slightly upward or remains upright, often facing forward; Hand: Raises to the forehead or eyebrow level, with fingers extended and held together; Arm: Lifts the hand in a swift and straight motion towards the head; Hip: Generally remains stationary, providing stability to the upper body during the salute; Leg: Can remain straight or may slightly bend at the knee for balance; Foot: Typically remains in place, providing support to the leg and body during the salute.",121,22,121,22,121,22,488,79
38,Putting the palms together,"""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","""Putting the palms together"" is the act of pressing one's hands together, often as a sign of respect, greeting, or prayer.","put palms together; Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Brings both palms together, fingers aligned and facing each other; Arm: Moves the hands towards each other, bringing the palms together; Hip: Typically remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",122,21,122,21,122,21,466,73
39,Crossing hands in front (saying stop),"""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","""Crossing hands in front (saying stop)"" is a gesture where one crosses their arms in front of their body and says ""stop"".","cross hands in front; Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Crosses one hand over the other, fingers may interlace or rest on the opposite arm; Arm: Crosses one arm over the other, typically at the wrists or forearms; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",121,22,121,22,121,22,485,81
40,Sneeze/cough,"""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","""Sneeze/cough"" is the involuntary or deliberate act of expelling air and sometimes mucus from the nose and mouth, typically due to illness or irritation.","sneeze/cough; Head: May tilt slightly forward or downwards as the body prepares for the sneeze or cough; Hand: Can cover the mouth and nose to contain the sneeze or cough, or may be used to hold a tissue or handkerchief; Arm: Moves in conjunction with the hand to cover the mouth and nose; Hip: Typically remains stable, providing a base for the upper body during the sneeze or cough; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action.",153,24,153,24,153,24,530,93
41,Staggering,"""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","""Staggering"" is the unsteady movement or swaying of the body, usually caused by intoxication, dizziness, or fatigue.","staggering; Head: Might sway or tilt slightly, possibly struggling to maintain balance; Hand: May reach out for support or attempt to stabilize the body by grasping onto nearby objects; Arm: Can swing or flail in an uncoordinated manner as the body tries to regain balance; Hip: Often shifts from side to side as the body struggles to maintain equilibrium; Leg: May step unevenly or buckle under the weight, causing an unsteady gait; Foot: Can land awkwardly or stumble as the person attempts to walk or stand.",116,17,116,17,116,17,510,86
42,Falling,"""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","""Falling"" is the sudden loss of balance resulting in a person dropping or collapsing to the ground or a lower surface.","falling down; Head: Often tilts backwards or to the side as the body loses balance; Hand: Can reach out in an attempt to grab onto something for support or to break the fall; Arm: May flail or extend outward in an instinctive effort to regain balance or cushion the fall; Hip: Typically shifts suddenly as the body begins to lose stability; Leg: May buckle or give way under the weight of the body, contributing to the fall; Foot: Often loses contact with the ground or may land awkwardly as the person begins to fall.",118,21,118,21,118,21,518,94
43,Touching head (headache),"""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","""Touching head (headache)"" involves placing one's hands on the head to alleviate pain or discomfort in the head or neck area.","headache; Head: Might be held or massaged as the person tries to alleviate the pain; Hand: Can be used to hold the head or apply pressure to specific areas to relieve discomfort; Arm: May reach for medication or a cold compress to help alleviate the headache; Hip: Often remains stable, providing support to the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person tries to find relief from the headache.",125,21,125,21,125,21,531,88
44,Touching chest (stomachache/heart pain),"""Touching chest (stomachache/heart pain)"" is a human action that involves placing a hand on the chest to alleviate discomfort or pain in the chest area.","""Touching chest (stomachache/heart pain)"" is a human action that involves placing a hand on the chest to alleviate discomfort or pain in the chest area.","""Touching chest (stomachache/heart pain)"" is a human action that involves placing a hand on the chest to alleviate discomfort or pain in the chest area.","chest pain; Head: May tilt slightly forward or to the side as the person focuses on the pain or seeks help; Hand: Might clutch at the chest or move towards it in an attempt to alleviate or gauge the severity of the pain; Arm: Can support the body or be used to hold onto nearby objects for stability; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the chest pain.",152,25,152,25,152,25,559,99
45,Touching back (backache),"""Touching back (backache)"" involves placing one's hands on the back to alleviate or investigate pain, discomfort, or tension in the back.","""Touching back (backache)"" involves placing one's hands on the back to alleviate or investigate pain, discomfort, or tension in the back.","""Touching back (backache)"" involves placing one's hands on the back to alleviate or investigate pain, discomfort, or tension in the back.","back pain; Head: May tilt slightly forward or to the side as the person tries to find a more comfortable position; Hand: Might reach back to touch or support the affected area of the back; Arm: Can assist in supporting the body or reaching for objects to help alleviate the pain; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the back pain.",137,21,137,21,137,21,537,92
46,Touching neck (neckache),"""Touching neck (neckache)"" refers to the action of pressing or rubbing the neck with one's hands, often to relieve pain or discomfort in the neck area.","""Touching neck (neckache)"" refers to the action of pressing or rubbing the neck with one's hands, often to relieve pain or discomfort in the neck area.","""Touching neck (neckache)"" refers to the action of pressing or rubbing the neck with one's hands, often to relieve pain or discomfort in the neck area.","neck pain; Head: May tilt slightly to one side or forward in an attempt to alleviate discomfort; Hand: Might reach up to gently massage or support the neck; Arm: Can assist in supporting the head or reaching for objects to help alleviate the pain; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the neck pain.",151,26,151,26,151,26,505,85
47,Nausea or vomiting,"""Nausea or vomiting"" is a condition characterized by the urge to vomit or the act of forcefully expelling stomach contents through the mouth.","""Nausea or vomiting"" is a condition characterized by the urge to vomit or the act of forcefully expelling stomach contents through the mouth.","""Nausea or vomiting"" is a condition characterized by the urge to vomit or the act of forcefully expelling stomach contents through the mouth.","nausea/vomiting; Head: May bow forward or lean over a surface in anticipation of vomiting; Hand: Can cover the mouth or hold onto a container for vomiting; Arm: May extend to support the body or hold onto nearby objects for stability; Hip: Often remains stable, providing a base for the upper body during the episode; Leg: Can adjust position for comfort or stability, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with nausea or vomiting.",141,23,141,23,141,23,511,84
48,Using a fan (with hand or paper),"""Using a fan (with hand or paper) to feel warm"" involves creating airflow with a handheld or paper fan for the purpose of cooling down.","""Using a fan (with hand or paper) to feel warm"" involves creating airflow with a handheld or paper fan for the purpose of cooling down.","""Using a fan (with hand or paper) to feel warm"" involves creating airflow with a handheld or paper fan for the purpose of cooling down.","fan self; Head: May tilt slightly back to expose the face and neck to the moving air; Hand: Holds the fan and moves it back and forth in front of the face or body; Arm: Moves in conjunction with the hand, providing the motion for fanning; Hip: Often remains stable, providing a base for the upper body during the fanning motion; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while fanning.",135,25,135,25,135,25,470,84
49,Punching/Slapping other person,"""Punching/Slapping other person"" is the act of striking another person with one's fist or open hand, respectively, typically for physical harm or aggression.","""Punching/Slapping other person"" is the act of striking another person with one's fist or open hand, respectively, typically for physical harm or aggression.","""Punching/Slapping other person"" is the act of striking another person with one's fist or open hand, respectively, typically for physical harm or aggression.","punch/slap; Head: Typically remains steady or may turn slightly in the direction of the punch or slap; Hand: Makes contact with the target area with force, whether in a closed fist for punching or an open palm for slapping; Arm: Extends outward to deliver the punch or slap, with the shoulder providing power and momentum; Hip: May rotate or shift slightly to add force to the punch or slap, especially for punches delivered with the entire body; Leg: Can provide stability and balance, with the stance adjusting depending on the force of the punch or slap; Foot: Typically remains grounded to provide a solid base, but may pivot or shift weight depending on the movement.",157,23,157,23,157,23,672,115
50,Kicking other person,"""Kicking other person"" involves striking another person with one's foot, often for physical harm or aggression.","""Kicking other person"" involves striking another person with one's foot, often for physical harm or aggression.","""Kicking other person"" involves striking another person with one's foot, often for physical harm or aggression.","kicking; Head: Typically remains steady, although it may turn slightly to follow the target; Hand: Often remains by the side for balance, but may move to guard the face or aid in stability; Arm: Can swing in the opposite direction of the kick for balance or can be used for defense; Hip: Rotates to generate power for the kick, especially in kicks that involve the entire body; Leg: Extends forward with force, making contact with the target; Foot: Strikes the target with the desired force, whether with the ball, instep, or heel, depending on the type of kick.",111,16,111,16,111,16,562,98
51,Pushing other person,"""Pushing other person"" involves applying force to another person with one's body, typically with the intent to move or manipulate them.","""Pushing other person"" involves applying force to another person with one's body, typically with the intent to move or manipulate them.","""Pushing other person"" involves applying force to another person with one's body, typically with the intent to move or manipulate them.","pushing; Head: Typically remains steady, although it may lean slightly forward to provide momentum; Hand: Applies force against the object or person being pushed; Arm: Extends outward to transfer the force from the hand to the target; Hip: May shift slightly forward or to the side to add power to the push; Leg: Can push against the ground to provide stability and power to the push; Foot: Provides the foundation for the leg to push against the ground, ensuring balance and support during the action.",135,21,135,21,135,21,502,85
52,Patting on back of other person,"""Patting on back of other person"" is the act of lightly striking or tapping another person's back with one's hand.","""Patting on back of other person"" is the act of lightly striking or tapping another person's back with one's hand.","""Patting on back of other person"" is the act of lightly striking or tapping another person's back with one's hand.","pat on back; Head: Typically remains upright or may tilt slightly forward to observe the action; Hand: Makes contact with the other person's back in a gentle tapping motion; Arm: Moves in conjunction with the hand to deliver the pat on the back; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while patting someone on the back.",114,20,114,20,114,20,489,84
53,Pointing finger at the other person,"""Pointing finger at the other person"" involves extending one's finger towards another person, typically to indicate something or express disapproval.","""Pointing finger at the other person"" involves extending one's finger towards another person, typically to indicate something or express disapproval.","""Pointing finger at the other person"" involves extending one's finger towards another person, typically to indicate something or express disapproval.","point finger; Head: May turn slightly to direct attention toward the direction of the finger; Hand: Extends the index finger outward, pointing in the desired direction; Arm: Moves in conjunction with the hand to guide the pointing motion; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while pointing.",149,20,149,20,149,20,463,75
54,Hugging other person,"""Hugging other person"" involves embracing another person with one's arms, often as a gesture of affection or comfort.","""Hugging other person"" involves embracing another person with one's arms, often as a gesture of affection or comfort.","""Hugging other person"" involves embracing another person with one's arms, often as a gesture of affection or comfort.","hugging; Head: May lean slightly to one side or rest against the other person's shoulder; Hand: Typically wraps around the other person's back, shoulder, or waist; Arm: Encircles the other person in a gentle embrace, often crossing over their back; Hip: May tilt slightly forward to bring the body closer during the hug; Leg: Can shift weight slightly for balance or comfort, especially if standing; Foot: Typically remains in place, providing support to the leg and body during the hug.",117,18,117,18,117,18,487,80
55,Giving something to other person,"""Giving something to other person"" involves transferring an object or item to another person, typically as a gift or as part of an exchange.","""Giving something to other person"" involves transferring an object or item to another person, typically as a gift or as part of an exchange.","""Giving something to other person"" involves transferring an object or item to another person, typically as a gift or as part of an exchange.","giving object; Head: May turn slightly to direct attention towards the recipient or the object being given; Hand: Offers the object to the recipient, extending it towards them; Arm: Moves in conjunction with the hand to deliver the object to the recipient; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort, especially if standing; Foot: Typically remains in place, providing support to the leg and body during the action of giving the object.",140,24,140,24,140,24,529,87
56,Touching other person's pocket,"""Touching other person's pocket"" involves coming into contact with or manipulating the pocket of another person's clothing.","""Touching other person's pocket"" involves coming into contact with or manipulating the pocket of another person's clothing.","""Touching other person's pocket"" involves coming into contact with or manipulating the pocket of another person's clothing.","touch pocket; Head: May turn slightly to observe the hand reaching towards the pocket; Hand: Moves towards the pocket to feel or retrieve something inside; Arm: Extends to reach the pocket, guiding the hand towards it; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action of touching the pocket.",123,17,123,17,123,17,462,77
57,Handshaking,"""Handshaking"" involves greeting another person by clasping and shaking their hand, typically as a gesture of respect or friendliness.","""Handshaking"" involves greeting another person by clasping and shaking their hand, typically as a gesture of respect or friendliness.","""Handshaking"" involves greeting another person by clasping and shaking their hand, typically as a gesture of respect or friendliness.","shaking hands; Head: Typically remains steady, with a slight nod or tilt forward as a sign of acknowledgment; Hand: Extends forward to meet the other person's hand, clasping firmly for the handshake; Arm: Moves in conjunction with the hand, extending forward to meet the other person's hand; Hip: Often remains stable, providing a base for the upper body during the handshake; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the handshake.",133,19,133,19,133,19,525,85
58,Walking towards each other,"""Walking towards each other"" is the act of moving one's body towards another person while standing or walking.","""Walking towards each other"" is the act of moving one's body towards another person while standing or walking.","""Walking towards each other"" is the act of moving one's body towards another person while standing or walking.","walking towards; Head: Typically faces forward, scanning the path ahead; Hand: Swings naturally at the sides or may be used for balance; Arm: Swings in coordination with the opposite leg to maintain balance and rhythm; Hip: Moves in a gentle swaying motion, providing momentum for the steps; Leg: Alternates in a synchronized pattern, lifting and extending to propel the body forward; Foot: Makes contact with the ground, pushing off to take the next step in the walking motion.",110,18,110,18,110,18,478,78
59,Walking apart from each other,"""Walking apart from each other"" involves moving away from another person while standing or walking.","""Walking apart from each other"" involves moving away from another person while standing or walking.","""Walking apart from each other"" involves moving away from another person while standing or walking.","walking apart; Head: Generally faces forward, but may turn slightly to maintain awareness of the other person; Hand: Can hang loosely at the sides or may swing naturally with the movement; Arm: Typically swings in rhythm with the opposite leg, aiding in balance and momentum; Hip: May sway gently to the side opposite the direction of the steps, aiding in stability; Leg: Moves in a coordinated pattern with the arms, taking steps away from each other; Foot: Makes contact with the ground, providing support and propulsion for each step taken apart.",99,15,99,15,99,15,549,91
